case_group,schema,name1,name2,is_match,quality,category,notes
nk_checks,Company,Deutsche Bank AG,Deutsche Bank Aktiengesellschaft,true,STRONG,,
nk_checks,Company,Deutsche Bank (Schweiz) AG,Deutsche Bank AG,true,WEAK,,
nk_checks,Company,Deutsche Bank AG,Deutsche Bank (Schweiz) AG,true,WEAK,,
nk_checks,Company,Deutsche Bank AG,Deutsche Bank GmbH,false,WEAK,,
nk_checks,Company,Deutsche Bank Trust Company,Deutsche Bank,false,WEAK,,
nk_checks,Company,OAO Gazprom,Open Joint Stock Company Gazprom,true,MEDIUM,,
nk_checks,Company,HOMS REFINERY CORPORATION,The Homs Refinery Company,true,MEDIUM,,
nk_checks,Person,Friedrych Buchenberg,Friedrich Buchenberg,true,MEDIUM,,
nk_checks,Person,Fridrich Buchenberg,Friedrich Buchenberg,true,MEDIUM,,
nk_checks,Person,FridrichBuchenberg,Friedrich Buchenberg,true,MEDIUM,,
nk_checks,Person,Friedrich Buchenbergo,Friedrich Buchenberg,true,MEDIUM,,
nk_checks,Person,Frederick Buchenberg,Friedrich Buchenberg,false,WEAK,,
nk_checks,Person,Lars Friedrich Lindemann,Friedrich Buchenberg,false,MEDIUM,,
nk_checks,Person,Wolfgang Friedrich Ischinger,Friedrich Buchenberg,false,MEDIUM,,
nk_checks,Person,Gerhard Friedrich Karl Westdickenberg,Friedrich Buchenberg,false,MEDIUM,,
nk_checks,Person,Klaus-Peter Friedrich Walter Schulze,Friedrich Buchenberg,false,MEDIUM,,
nk_checks,Person,Frank Richter,Frederik Richter,false,MEDIUM,,
nk_checks,Person,Фрэнк Рихтер,Frederik Richter,false,MEDIUM,,
nk_checks,Person,Ig0r Sech1n,Igor Sechin,true,MEDIUM,Alphanumeric Swap,
nk_checks,Person,I9or Sech1n,Igor Sechin,true,MEDIUM,Alphanumeric Swap,
nk_checks,Person,Sergi Lavrov,Sergei Lavrov,true,STRONG,Character Deletion,
nk_checks,Person,SergeiLavrov,Sergei Lavrov,true,STRONG,,
nk_checks,Person,Serei Lavrov,Sergei Lavrov,true,MEDIUM,Character Deletion,
nk_checks,Person,Alexandr Lukashnko,Alexander Lukashenko,true,MEDIUM,Character Addition/Deletion,
nk_checks,Person,Alexander Luakshenko,Alexander Lukashenko,true,MEDIUM,Character Addition/Deletion,
nk_checks,Person,Kim Jong-uun,Kim Jong-un,true,MEDIUM,Character Repetition,
nk_checks,Person,Kim Joonng-un,Kim Jong-un,true,MEDIUM,Character Repetition,
nk_checks,Person,rimaldiV nituP,Vladimir Putin,true,WEAK,Character Reversal,
nk_checks,Person,Vladimir nitPu,Vladimir Putin,true,WEAK,Character Reversal,
nk_checks,Person,Nicolás Maduro SA,Nicolás Maduro,true,MEDIUM,Contextual Ending,
nk_checks,Person,Nicolás Maduro LLC,Nicolás Maduro,true,MEDIUM,Contextual Ending,
nk_checks,Person,Mr. Recep Tayyip Erdoğan,Recep Tayyip Erdoğan,true,STRONG,Contextual Beginning,
nk_checks,Person,President Erdoğan,Recep Tayyip Erdoğan,true,WEAK,Contextual Beginning,
nk_checks,Person,Basharr al-Assad,Bashar al-Assad,true,MEDIUM,Fat Finger Typo,
nk_checks,Person,Bashar al-Asasd,Bashar al-Assad,true,MEDIUM,Fat Finger Typo,
nk_checks,Person,Bashar xal-Assad,Bashar al-Assad,true,STRONG,Fat Finger Typo,
nk_checks,Person,Shi Jinping,Xi Jinping,true,MEDIUM,Phonetic Replacement,
nk_checks,Person,Si Jinpin,Xi Jinping,true,MEDIUM,Phonetic Replacement,
nk_checks,Person,Margarita-Simonyan,Margarita Simonyan,true,MEDIUM,Special Characters Addition,
nk_checks,Person,Margarita Simonyán,Margarita Simonyan,true,MEDIUM,Special Characters Addition,
nk_checks,Person,A. Khamenei,Ali Khamenei,true,WEAK,Initials Usage,
nk_checks,Person,J.-C. Juncker,Jean-Claude Juncker,true,WEAK,Initials Usage,
nk_checks,Person,JC Juncker,Jean-Claude Juncker,true,WEAK,Initials Usage,
nk_checks,Organization,PLA,People’s Liberation Army,true,WEAK,Abbreviation,
nk_checks,Organization,PLA China,People’s Liberation Army,true,MEDIUM,Abbreviation,
nk_checks,Person,AlisherUsmanov,Alisher Usmanov,true,MEDIUM,Word Joining,
nk_checks,Person,Alisher-Usmanov,Alisher Usmanov,true,MEDIUM,Word Joining,
nk_checks,Person,Nikolai Patr ushev,Nikolai Platonovich Patrushev,true,MEDIUM,Word Splitting,
nk_checks,Person,Nikolai Plat Ono Vich Patrushev,Nikolai Platonovich Patrushev,true,MEDIUM,Word Splitting,
nk_checks,Person,bin Salman Mohammed,Mohammed bin Salman,true,MEDIUM,Word Reordering,
nk_checks,Person,Salman Mohammed bin,Mohammed bin Salman,true,MEDIUM,Word Reordering,
nk_checks,Company,1st International Bank,First International Bank,true,MEDIUM,Ordinal Number Variation,
nk_checks,Company,First Bank Int’l,First International Bank,true,MEDIUM,Ordinal Number Variation,
nk_checks,Organization,Brigade Forty-Four,Brigade 44,true,MEDIUM,Digit to Text Conversion,
nk_checks,Organization,Brigade Forty 4,Brigade 44,true,WEAK,Digit to Text Conversion,
nk_checks,Organization,3 Percenters,Three Percenters,true,MEDIUM,Text to Digit Conversion,
nk_checks,Organization,3%ers,Three Percenters,true,WEAK,Text to Digit Conversion,
nk_checks,Person,Sergey Sergey Shoigu,Sergey Shoigu,true,MEDIUM,Name Duplication Removal,
nk_checks,Person,Shoigu Shoigu Sergey,Sergey Shoigu,true,MEDIUM,Name Duplication Removal,
nk_checks,Person,N. Nazarbayev,Nursultan Nazarbayev,true,WEAK,Initials Addition,
nk_checks,Person,A. Nazarbayev,Nursultan Nazarbayev,false,WEAK,,
nk_checks,Person,Nar Nazarbayev,Nursultan Nazarbayev,false,MEDIUM,,
nk_checks,Person,N.N.,Nursultan Nazarbayev,false,WEAK,Initials Addition,
nk_checks,Person,Dr. Rami Makhlouf,Rami Makhlouf,true,MEDIUM,Title Addition,
nk_checks,Person,Mr. Rami Makhlouf,Rami Makhlouf,true,MEDIUM,Title Addition,
nk_checks,Person,RamiMakhlouf,Rami Makhlouf,true,MEDIUM,,
nk_checks,Person,Ihab Makhlouf,Rami Makhlouf,false,MEDIUM,,
nk_checks,Person,Hafez Makhlouf,Rami Makhlouf,false,MEDIUM,,
nk_checks,Person,Bibi Netanyahu,Benjamin Netanyahu,true,WEAK,Nickname Usage,
nk_checks,Person,Ben Netanyahu,Benjamin Netanyahu,true,WEAK,Nickname Usage,
nk_checks,Person,Boris Netanyahu,Benjamin Netanyahu,false,STRONG,,
nk_checks,Person,Emanuel Macron,Emmanuel Macron,true,MEDIUM,Common Misspelling,
nk_checks,Person,Emmanuel Macrone,Emmanuel Macron,true,MEDIUM,Common Misspelling,
nk_checks,Person,Pot Pouv,Pol Pot,false,MEDIUM,,
nk_checks,Person,PolPot,Pol Pot,true,MEDIUM,,
nk_checks,Person,ប៉ុល ពត,Pol Pot,true,MEDIUM,,
nk_checks,Person,Paul Murphy,Pol Pot,false,MEDIUM,,
nk_checks,Person,Pol Pot,Paul Murphy,false,STRONG,,
nk_checks,Person,ماري تيريز أدينا أوندوا,Marie-Therese Abena Ondoa,true,MEDIUM,,
nk_checks,Person,Barack Obama,George Hussein Onyango Obama,false,MEDIUM,,
nk_checks,Person,Barack Obama,Բարակ Օբամա,true,MEDIUM,,
nk_checks,Person,Barack Obama,バラク・オバマ,true,MEDIUM,,
nk_checks,Person,Barak Obama,Barack Obama,true,MEDIUM,,
nk_checks,Person,Barry Obama,Barack Obama,true,WEAK,,
nk_checks,Person,贝拉克·奥巴马,Barack Obama,true,MEDIUM,,
nk_checks,Person,Präsident Barack Obama,Barack Obama,true,MEDIUM,,
nk_checks,Person,Barack Obama,Барак Хусеин Обама,true,MEDIUM,,
nk_checks,Person,ბარაკ ობამა,Barack Obama,true,MEDIUM,,
nk_checks,Person,Michel Obama,Michelle Obama,true,WEAK,,
nk_checks,Person,Marie-Thérèse Obama,Michelle Obama,false,MEDIUM,,
nk_checks,Person,Hannibal,Hannibal,true,MEDIUM,,
nk_checks,Person,Hanniball,Hannibal,true,MEDIUM,,
nk_checks,Person,Sergejs Lavrovs,Sergey Viktorovich LAVROV,true,MEDIUM,,
nk_checks,Person,Sergey Ivanov,Sergey Viktorovich LAVROV,false,MEDIUM,,
nk_checks,Person,Sergey Ivanevich Lavrov,Sergey Viktorovich LAVROV,false,MEDIUM,,
nk_checks,Person,Sergey Viktorovich Lavrov,Sergey Viktorovich LAVROV,true,MEDIUM,,
nk_checks,Person,Sergey Viktorovich Lavrov,Sergey Ivanevich LAVROV,false,MEDIUM,,
nk_checks,Person,Sergej Viktorovich Navros,Sergey Viktorovich LAVROV,false,MEDIUM,,
nk_checks,Person,Jeremy Thomas England,Thomas Lindemann,false,MEDIUM,,
nk_checks,Person,Niranjan Thomas Alva,Thomas Lindemann,false,MEDIUM,,
nk_checks,Person,Thomas A. Lind,Thomas Lindemann,false,MEDIUM,,
nk_checks,Person,Thomas A. Lindeman,Thomas Lindemann,true,MEDIUM,,
nk_checks,Person,Ротенберг Аркадий,Arkadii Romanovich Rotenberg,true,MEDIUM,,
nk_checks,Person,Osama bin Laden,Usāma bin Muhammad ibn Awad ibn Lādin,true,WEAK,,
nk_checks,Person,Muhammad bin Salman,Usāma bin Muhammad ibn Awad ibn Lādin,false,MEDIUM,,
nk_checks,Company,Goodwill Company,Good Will Company,true,MEDIUM,,
nk_checks,Organization,Government of Estonia,Government of Ethiopia,false,MEDIUM,,
nk_checks,Company,CRYSTALORD LIMITED,CRYSTALORD LTD,true,STRONG,,
nk_checks,Company,CRISTALORD LIMITED,CRYSTALORD LTD,true,MEDIUM,,
nk_checks,Company,CRYSTALORD SYSTEMS LIMITED,CRYSTALORD LTD,false,WEAK,,
nk_checks,Company,TACTICAL MISSILES CORPORATION JOINT STOCK COMPANY,TACTICAL MISSILES CORPORATION JOINT STOCK COMPANY,true,MEDIUM,,
nk_checks,Company,TACTICAL MISSILES CORPORATION JOINT STOCK COMPAN,TACTICAL MISSILES CORPORATION JOINT STOCK COMPANY,true,MEDIUM,,
nk_checks,Company,JSC TACTICAL MISSILES CORPORATION,TACTICAL MISSILES CORPORATION JOINT STOCK COMPANY,true,MEDIUM,,
nk_checks,Company,OJSC TACTICAL MISSILES CORPORATION,TACTICAL MISSILES CORPORATION JOINT STOCK COMPANY,true,MEDIUM,,
nk_checks,Company,JSC TACTICAL MISSILES CORP.,TACTICAL MISSILES CORPORATION JOINT STOCK COMPANY,true,MEDIUM,,
nk_checks,Company,OJSC TACTICAL KITTENS CORPORATION,TACTICAL MISSILES CORPORATION JOINT STOCK COMPANY,false,MEDIUM,,
nk_checks,Company,OJSC TACTICAL MISSIVES CORPORATION,TACTICAL MISSILES CORPORATION JOINT STOCK COMPANY,true,WEAK,,
nk_checks,Company,Oboronnye Initsiativy OOO,OOO Oboronnye Initsiativy,true,MEDIUM,,
nk_checks,Company,Oboronnye Initsiativy o.O.O.,OOO Oboronnye Initsiativy,true,MEDIUM,,
nk_checks,Company,Iskusstvo Krasoty,LIMITED LIABILITY COMPANY ISKUSSTVO KRASOTY,true,MEDIUM,,
nk_checks,Company,ANO Iskusstvo Krasoty,LIMITED LIABILITY COMPANY ISKUSSTVO KRASOTY,false,MEDIUM,,
nk_checks,Company,faberlic,FABERLIC EUROPE Sp. z o.o.,true,MEDIUM,,
nk_checks,LegalEntity,faberlic,FABERLIC EUROPE Sp. z o.o.,true,MEDIUM,,
nk_checks,Person,Boris Johnson,Alexandre Boris de Pfeffel Johnson,true,MEDIUM,,
nk_checks,Person,Geoffrey Boris Johnson,Alexandre Boris de Pfeffel Johnson,false,STRONG,,
nk_checks,Person,Boris de Pfeffel Johnson,Alexandre Boris de Pfeffel Johnson,true,MEDIUM,,
nk_checks,Person,Boris Johnson de Pfeffel,Alexandre Boris de Pfeffel Johnson,true,MEDIUM,,
nk_checks,Company,A.B.C. Company,A.B.C. Company,true,STRONG,,
nk_checks,Company,ABC Company,A.B.C. Company,true,STRONG,,
nk_checks,Company,ABC Co.,A.B.C. Company,true,MEDIUM,,
nk_checks,Company,CDE Company,A.B.C. Company,false,MEDIUM,,
nk_checks,Company,C.B.A. Company,A.B.C. Company,false,STRONG,,
nk_checks,Company,N.A.B.C. Company,A.B.C. Company,false,MEDIUM,,
nk_checks,Company,ABC International,A.B.C. Company,false,MEDIUM,,
nk_checks,Organization,Yamahdi (UK) Limited,YA MAHDI INDUSTRIES GROUP,false,STRONG,,
nk_checks,Organization,MAHDI & YASMIN LTD,YA MAHDI INDUSTRIES GROUP,false,MEDIUM,,
nk_checks,Person,Niels Oscar Rost,Niels Oscar TROOST,true,MEDIUM,,
nk_checks,Person,Nils Trosterich,Niels Oscar TROOST,false,MEDIUM,,
nk_checks,LegalEntity,Nils Trosterich,Niels Oscar TROOST,false,MEDIUM,,
nk_checks,Person,Ali A. Velayati,Ali Akbar Velayati,true,MEDIUM,,
nk_checks,Person,Ali Vellabati,Ali Akbar Velayati,false,MEDIUM,,
nk_checks,Person,Kim Myong-sik,Kim Myong-guk,true,MEDIUM,,
nk_checks,Person,Kim Pong-ryul,Kim Pyong-ryul,true,MEDIUM,,
nk_checks,Person,Choe Ryong-hae,Choe Kyong-song,false,MEDIUM,,
nk_checks,Person,Kim Yong-chol,Kim Yong-chun,true,MEDIUM,,
nk_checks,LegalEntity,Kim Yong-chol,Kim Yong-chun,true,MEDIUM,,
nk_checks,LegalEntity,Volodymyr Groysman,Volodymyr Oleksandrovych Zelenskyy,false,MEDIUM,,
nk_checks,Person,Володимир Зеленський,Volodymyr Oleksandrovych Zelenskyy,true,MEDIUM,,
nk_checks,Person,Oleksandr Zelenskyy,Volodymyr Oleksandrovych Zelenskyy,false,MEDIUM,,
nk_checks,LegalEntity,"Nantahala Capital Offshore Fund, Ltd.","Nantahala Capital Offshore Fund I, Ltd.",true,MEDIUM,,
nk_checks,LegalEntity,C G Clow Will Trust,CG City Funding Limited,false,MEDIUM,,
nk_checks,LegalEntity,The Pudney Trust,The Puccini Trust,false,MEDIUM,,
nk_checks,LegalEntity,The Puffin Trust,The Puccini Trust,false,MEDIUM,,
nk_checks,LegalEntity,LVMH Aviation,"THEIA AVIATION, LLC",false,MEDIUM,,
nk_checks,Company,СБ Дако ООО,СБ Банк (ООО),false,MEDIUM,,
nk_checks,Company,"ООО ""БАЙ""","ООО""БАЗО""",false,MEDIUM,,
nk_checks,Company,"ООО ""БАЙ""","ООО ""БАЙКАЛ""",false,MEDIUM,,
nk_checks,Company,ООО АЯС 2000,"ООО ""АЯС 2000""",true,MEDIUM,,
nk_checks,Company,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛ""",false,MEDIUM,,
nk_checks,Company,"СВЕРДЛОВСКАЯ ОБЛАСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР СОЦИАЛЬНОЙ АДАПТАЦИИ ""АЛЬЯНС""","СВЕРДЛОВСКАЯ ОБЛАСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ИССЛЕДОВАНИЯ БОЕВЫХ ИСКУССТВ ""УРАЛЬСКИЙ БУДОКАН""",false,MEDIUM,,
nk_checks,LegalEntity,Nanshan Group,Nanshan Group Co Ltd,true,MEDIUM,,
nk_checks,Company,Societatea cu Răspundere Limitată PRO TRAFFIC,SRL PRO TRAFFIC,true,MEDIUM,,
nk_checks,Company,Societatea cu Răspundere Limitată CON TRAFFIC,Societatea cu Răspundere Limitată PRO TRAFFIC,false,STRONG,,
nk_checks,Company,S.R.L. CON TRAFFIC,Societatea cu Răspundere Limitată PRO TRAFFIC,false,MEDIUM,,
nk_checks,Company,JSC Murom Instrument-Making Plant,Акционерное общество “Муромский приборостроительный завод”,true,MEDIUM,,
nk_checks,Organization,ndrangheta,'Ndrangheta,true,MEDIUM,,
nk_checks,Organization,Andrang Heta,'Ndrangheta,true,MEDIUM,,
nk_checks,Organization,Al Qaeda,Al Qa'ida,true,STRONG,,
nk_checks,Organization,Al Qaeda,Al-Qa'ida/Islamic Army,true,STRONG,,
nk_checks,Organization,Al-Qaida in Iraq,Al-Qaida in the Arabian Peninsula,false,MEDIUM,,
nk_checks,Person,'Abd al-Aziz al-Nuristani,Abdul Aziz Nooristani,true,MEDIUM,,
nk_checks,Person,"NURISTANI, Abdul Aziz",Abdul Aziz Nooristani,true,MEDIUM,,
nk_checks,Person,"NURISTANI, Abdul Aziz",ABDUL AZIZ Aziz Nooristani,true,MEDIUM,,
nk_checks,Vessel,Hellenic Spirit,MV Hellenic Spirit,true,MEDIUM,,
nk_checks,Vessel,Lady Leila,Lady Rania,false,MEDIUM,,
nk_checks,Vessel,Zu Zag Bong 6,Zu Zag Bong 5,true,MEDIUM,,
nk_checks,Vessel,Yerotsakos,YEVGENY PRIMAKOV,false,MEDIUM,,
nk_checks,Vessel,Yard No. 9918779 Zvezda-Dsme,YARD NO. 455 IRAN MARINE,false,MEDIUM,,
nk_checks,Vessel,Victory,Victory 3,true,MEDIUM,,
nk_checks,Vessel,Victory,VICTOR KONETSKY,false,MEDIUM,,
nk_checks,Vessel,VELIKIY NOVGOROD,Velikiy Novgorod,true,MEDIUM,,
nk_checks,Person,"Frost, William W.",William W Frost,true,MEDIUM,,
nk_checks,Person,"Frost, William G.",William W Frost,false,MEDIUM,,
nk_checks,Person,GENA C RANDOLPH,"Randolph, Gena",true,MEDIUM,,
nk_checks,Person,GERD RANDOLPH,"Randolph, Gena",false,MEDIUM,,
nk_checks,Organization,The BSF Foundation,The BIRD Foundation,false,MEDIUM,,
nk_checks,Person,Eric A. Wendt,Josh A. Wendt,false,MEDIUM,,
nk_checks,Person,Aaron A. Wendt,Josh A. Wendt,false,MEDIUM,,
nk_checks,Company,"BWI Industries, Inc.","BAE Industries, Inc.",false,STRONG,,
nk_checks,LegalEntity,"BWI Industries, Inc.","BAE Industries, Inc.",true,MEDIUM,,
nk_checks,Company,"BAE Systems, Inc.","BAE Industries, Inc.",false,MEDIUM,,
nk_checks,Person,Allaidin Hussain ALWAN,Ahmad al-Hamidawi,false,MEDIUM,,
nk_checks,Organization,"Academy of Military Medical Sciences, Insitute of Medical Equipment","Academy of Military Medical Sciences, Institute of Micobiology and Epidemiology",false,MEDIUM,,
nk_checks,Company,Management Company,Westminister Management Company,false,MEDIUM,,
nk_checks,Company,Management Company 23,Management Company,false,MEDIUM,,
nk_checks,LegalEntity,Elois,Alice Costandina Titus,false,MEDIUM,,
nk_checks,Person,Elois,Alice Costandina Titus,false,MEDIUM,,
nk_checks,Company,Blinq Holdings Pty Ltd,Bailey Holdings Pty Ltd,false,MEDIUM,,
nk_checks,Person,Ilie Bolojan,Monsieur Ilie-Gabril Bolojan,true,MEDIUM,,
nk_unit_tests,Person,John Doe,John Doe,true,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Person,John Doe,Juan Doe,true,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Person,John Doeburg,John Dowburg,true,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Person,John Doe,John Down,true,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Person,Serei Lavrov,Sergei Lavrov,true,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Person,Serej Lavrov,Сергей Викторович Лавров,true,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Person,Ramimakhlouf,Rami Makhlouf,true,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Person,A Nazarbayev,Nursultan Naza,false,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Person,Ted Doe,Theodore Doe,true,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Person,باراك أوباما,محمد بن سلمان آل سعود,false,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Company,OAO Gazprom,Gazprom JSC,true,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Company,OAO Gazprom,Gasprom JSC,true,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Company,OAO Gazprom,Open Joint Stock Company Gasprom,true,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Company,Gazprom Neft JSC,Gazprom Neft OAO,true,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Company,LXC Aviation,LAU Aviation,false,STRONG,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Company,LXC Aviatio,LAU Aviation,false,STRONG,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Company,LXC Aviation,L.X.C Aviation,true,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Company,L.X.C. Aviation,LAU Aviation,false,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Company,OJSC TACTICAL KITTENS CORPORATION,TACTICAL MISSILES CORPORATION JOINT STOCK COMPANY,false,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Company,FABERLIC EUROPE,FABERLIC EUROPE Sp. z o.o.,true,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Organization,Brigade Fourty-four,Brigade 44,true,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Vessel,Snow,SNOW,true,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Vessel,Snow,Snoe,false,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Vessel,Snow Storm 1,Snow Stom 1,true,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Vessel,Snow Storm 1,Snow Storm 2,true,MEDIUM,logic_v2_cases,test_logic_v2_cases.py CASES
nk_unit_tests,Person,Friedrich Lindenberg,Lars Friedrich Lindemann,false,MEDIUM,friedrich_fps,test_jaro_friedrich
nk_unit_tests,Person,Friedrich Lindenberg,Wolfgang Friedrich Ischinger,false,MEDIUM,friedrich_fps,test_jaro_friedrich
nk_unit_tests,Person,Friedrich Lindenberg,Gerhard Friedrich Karl Westdickenberg,false,MEDIUM,friedrich_fps,test_jaro_friedrich
nk_unit_tests,Person,Friedrich Lindenberg,Klaus-Peter Friedrich Walter Schulze,false,MEDIUM,friedrich_fps,test_jaro_friedrich
nk_unit_tests,Person,Friedrich Lindenberg,Fridrich Lindenberg,true,MEDIUM,friedrich_tps,test_jaro_friedrich
nk_unit_tests,Person,Friedrich Lindenberg,Fredrich Lindenberg,true,MEDIUM,friedrich_tps,test_jaro_friedrich
nk_unit_tests,Person,Friedrich Lindenberg,Friedrich Lindenburg,true,MEDIUM,friedrich_tps,test_jaro_friedrich
nk_unit_tests,Person,Friedrich Lindenberg,Friedrich Lyndenburg,true,MEDIUM,friedrich_tps,test_jaro_friedrich
nk_unit_tests,Person,Frederik Richter,Frederick Matthias Benjamin Bolte,false,MEDIUM,frederik_fps,test_jaro_frederik
nk_unit_tests,Person,Frederik Richter,Matthi Bolte-Richter,false,MEDIUM,frederik_fps,test_jaro_frederik
nk_unit_tests,Person,Frederik Richter,Frank Richter,false,MEDIUM,frederik_fps,test_jaro_frederik
nk_unit_tests,Person,Barack Obama,George Hussein Onyango Obama,false,MEDIUM,obama_fps,test_jaro_obamas
nk_unit_tests,Person,Barack Obama,Barak Obama,true,MEDIUM,obama_tps,test_jaro_obamas
nk_unit_tests,Person,Barack Obama,Barackk Obama,true,MEDIUM,obama_tps,test_jaro_obamas
nk_unit_tests,Person,Barack Obama,Michelle Obama,false,MEDIUM,obama_fps,test_jaro_obamas
nk_unit_tests,Person,Michelle Obama,Marie-Thérèse Obama,false,MEDIUM,obama_fps,test_jaro_obamas
nk_unit_tests,Person,Pol Pot,Paul Murphy,false,MEDIUM,pol_fps,test_jaro_pol
nk_unit_tests,Person,Pol Pot,Paul Mitchell,false,MEDIUM,pol_fps,test_jaro_pol
nk_unit_tests,Person,Pol Pot,Pot Pouv,false,MEDIUM,pol_fps,test_jaro_pol
nk_unit_tests,Person,Sergejs Lavrovs,Sergey Viktorovich LAVROV,true,MEDIUM,lavrov_tps,test_jaro_lavrov
nk_unit_tests,Person,Thomas Lindemann,Jeremy Thomas England,false,MEDIUM,lindemann_fps,test_jaro_lindemann
nk_unit_tests,Person,Thomas Lindemann,Niranjan Thomas Alva,false,MEDIUM,lindemann_fps,test_jaro_lindemann
nk_unit_tests,Person,Thomas Lindemann,Iain Thomas Rankin,false,MEDIUM,lindemann_fps,test_jaro_lindemann
nk_unit_tests,Person,Michelle Michaela,Michaela Michelle Micheli,true,MEDIUM,duplicative_tps,test_duplicative_name_similarity
